Method,URL Patterns,Detail,담당자,작업 완료,Last Updated,1차 MVP
POST,/auth/login,소셜 로그인,영두 우,Yes,2023년 9월 3일,Yes
POST,/auth/signup,회원 가입,영두 우,Yes,2023년 12월 29일,Yes
POST,/auth/reissue,토큰 재발행,영두 우,Yes,2023년 9월 3일,Yes
POST,/auth/logout,로그아웃,영두 우,Yes,2023년 9월 3일,Yes
