Method,URL Patterns,Detail,담당자,작업 완료,Last Updated,1차 MVP
GET,/friendships,친구 추가하기 화면 조회,영두 우,Yes,,Yes
POST,/friendships/request,친구 요청,영두 우,Yes,,Yes
DELETE,/friendships/accounts/{accountId},친구 삭제,영두 우,No,,No
GET,/friendships/manage,친구 관리,영두 우,Yes,,Yes
POST,/friendships/request/{friendshipRequestId}/approval,친구 요청 수락,영두 우,Yes,,Yes
POST,/friendships/request/{friendshipRequestId}/reject,친구 요청 거절,영두 우,Yes,,Yes
POST,/friendships/nickname/change,친구 이름 변경,영두 우,Yes,,Yes
GET,/test/manage/{id},친구 관리 테스트,영두 우,Yes,,No
