이름,개요,관련 활동,담당 역할 & 스킬,주요 기능,진행 기간,🏆 Award & Achievement
TIKKLE : 크라우드 선물 플랫폼,"전자상품권 구매, 선물로 진행되는 크라우드 펀딩 선물 앱, 스타트업 Lifoli를 시작하며 예비 창업중심대학에 선정되어 진행한 프로젝트",2023 창업중심대학 예비창업자,"AWS, BE, DB, Design, FCM, FE, React-Native, Sentry, Server, TypeScript, app","결제, 회원가입(카카오, 애플), 상품 구매, 푸시알림, 딥링크, 다이나믹 링크, 카카오톡 공유, 인스타그램 공유, 전자상품권 구매 및 선물, 크라우드 선물하기 진행, 환불, 배송조회",2023년 5월 16일 → 2023년 12월 22일,"2023 창업중심대학 예비창업패키지 사업 [성균관대학교] (%E1%84%8B%E1%85%A5%E1%86%B7%E1%84%89%E1%85%B3%E1%86%BC%E1%84%8C%E1%85%AE%20Eum%20SeungJu%2051ffd9329341468aaba64686126faee3/%F0%9F%8F%86%20Award%20&%20Achievement%20f86ccd47e7c2490b9b76a0c2ebddefaf/2023%20%E1%84%8E%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A5%E1%86%B8%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%89%E1%85%B5%E1%86%B7%E1%84%83%E1%85%A2%E1%84%92%E1%85%A1%E1%86%A8%20%E1%84%8B%E1%85%A8%E1%84%87%E1%85%B5%E1%84%8E%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A5%E1%86%B8%E1%84%91%E1%85%A2%E1%84%8F%E1%85%B5%E1%84%8C%E1%85%B5%20%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A5%E1%86%B8%20%5B%E1%84%89%E1%85%A5%E1%86%BC%2032b5e490efb642f88150a907d2ff4cc7.md), K-Startup Silicon Valley Dream Challenge (%E1%84%8B%E1%85%A5%E1%86%B7%E1%84%89%E1%85%B3%E1%86%BC%E1%84%8C%E1%85%AE%20Eum%20SeungJu%2051ffd9329341468aaba64686126faee3/%F0%9F%8F%86%20Award%20&%20Achievement%20f86ccd47e7c2490b9b76a0c2ebddefaf/K-Startup%20Silicon%20Valley%20Dream%20Challenge%2031ed69e0f14446a1b5b8af96d38a8fe4.md), 2023 PLAY-STARTUP (%E1%84%8B%E1%85%A5%E1%86%B7%E1%84%89%E1%85%B3%E1%86%BC%E1%84%8C%E1%85%AE%20Eum%20SeungJu%2051ffd9329341468aaba64686126faee3/%F0%9F%8F%86%20Award%20&%20Achievement%20f86ccd47e7c2490b9b76a0c2ebddefaf/2023%20PLAY-STARTUP%20b0c50241606143e5966e2146891e97b0.md), Innovation Leaders Summit (ILS) (%E1%84%8B%E1%85%A5%E1%86%B7%E1%84%89%E1%85%B3%E1%86%BC%E1%84%8C%E1%85%AE%20Eum%20SeungJu%2051ffd9329341468aaba64686126faee3/%F0%9F%8F%86%20Award%20&%20Achievement%20f86ccd47e7c2490b9b76a0c2ebddefaf/Innovation%20Leaders%20Summit%20(ILS)%205875159f637045e9a9fe54de3e54d71c.md)"
팅클(Tincle) : 우리들만의 피드,"우리들을 위한 소통 공간. 나와 친구들에게만 집중할 수 있는 “진짜” 소셜 미디어. 하루 동안만 볼수 있는 친구들과의 피드, 다양한 이모지로 표현하는 반응, 아이콘으로 공유하는 내 상태",,"FCM, FE, React-Native, TypeScript, app","24시간 뒤에 삭제 되는 피드, 다양한 이모지로 글에 알맞게 반응,  아이콘으로 내 상태를 공유.
회원가입(카카오, 구글, 애플), 푸시알림, 친구추가 및 관리",2023년 12월 22일 → 2024년 3월 31일,
